mun,pop,gfrac,bfrac,sfrac,S,k,lon,lat,norm_gfrac,norm_sfrac,lang_coeff
Salceda de Caselas,2798,0.039,0.512,0.449,0.24,0.8,-8.56,42.1,0.07991803278688525,0.9200819672131147,-0.8401639344262295
Salvaterra de Miño,1865,0.132,0.579,0.289,0.45,0.78,-8.5,42.08,0.3135391923990499,0.6864608076009501,-0.37292161520190015
Samos,180,0.476,0.476,0.048,0.63,0.82,-7.33,42.73,0.9083969465648855,0.0916030534351145,0.8167938931297709
San Amaro,199,0.167,0.75,0.083,0.54,0.8,-8.07,42.37,0.668,0.332,0.336
San Cibrao das Viñas,441,0.073,0.6,0.327,0.35,0.8,-7.87,42.3,0.18249999999999997,0.8175,-0.635
San Cristovo de Cea,680,0.167,0.75,0.083,0.54,0.8,-7.99,42.47,0.668,0.332,0.336
San Sadurniño,3019,0.081,0.435,0.484,0.17,0.83,-8.07,43.53,0.1433628318584071,0.856637168141593,-0.7132743362831859
San Xoán de Río,101,0.188,0.5,0.313,0.17,0.73,-7.3,42.37,0.37524950099800397,0.624750499001996,-0.249500998003992
Sandiás,232,0.5,0.467,0.033,0.64,0.76,-7.76,42.11,0.9380863039399624,0.06191369606003752,0.8761726078799249
Santa Comba,2750,0.657,0.286,0.057,0.71,0.85,-8.81,43.03,0.9201680672268907,0.07983193277310924,0.8403361344537814
Santiago de Compostela,94824,0.192,0.59,0.218,0.49,0.75,-8.55,42.88,0.46829268292682924,0.5317073170731706,-0.06341463414634141
Santiso,36,0.4,0.52,0.08,0.6,0.75,-8.04,42.85,0.8333333333333333,0.16666666666666666,0.6666666666666666
Sanxenxo,2358,0.19,0.667,0.143,0.48,0.75,-8.81,42.4,0.5705705705705706,0.42942942942942947,0.14114114114114112
Sarreaus,170,0.5,0.467,0.033,0.64,0.76,-7.64,42.16,0.9380863039399624,0.06191369606003752,0.8761726078799249
Sarria,13400,0.476,0.476,0.048,0.63,0.82,-7.41,42.78,0.9083969465648855,0.0916030534351145,0.8167938931297709
Silleda,2784,0.48,0.36,0.16,0.58,0.69,-8.25,42.7,0.75,0.25,0.5
Sober,312,0.222,0.611,0.167,0.54,0.76,-7.59,42.46,0.570694087403599,0.42930591259640105,0.1413881748071979
Sobrado,50,0.5,0.467,0.033,0.64,0.76,-8.09,42.19,0.9380863039399624,0.06191369606003752,0.8761726078799249
Soutomaior,7317,0.039,0.512,0.449,0.24,0.8,-8.57,42.34,0.07991803278688525,0.9200819672131147,-0.8401639344262295
Taboada,780,0.222,0.611,0.167,0.54,0.76,-7.76,42.72,0.570694087403599,0.42930591259640105,0.1413881748071979
Taboadela,216,0.073,0.6,0.327,0.35,0.8,-7.83,42.24,0.18249999999999997,0.8175,-0.635
Teo,18505,0.192,0.59,0.218,0.49,0.75,-8.55,42.8,0.46829268292682924,0.5317073170731706,-0.06341463414634141
Tomiño,1114,0.132,0.579,0.289,0.45,0.78,-8.74,41.99,0.3135391923990499,0.6864608076009501,-0.37292161520190015
Toques,1265,0.4,0.52,0.08,0.6,0.75,-7.97,42.97,0.8333333333333333,0.16666666666666666,0.6666666666666666
Tordoia,118,0.4,0.52,0.08,0.6,0.75,-8.55,43.09,0.8333333333333333,0.16666666666666666,0.6666666666666666
Touro,415,0.4,0.52,0.08,0.6,0.75,-8.3,42.87,0.8333333333333333,0.16666666666666666,0.6666666666666666
Toén,293,0.073,0.6,0.327,0.35,0.8,-7.95,42.32,0.18249999999999997,0.8175,-0.635
Trabada,191,0.318,0.545,0.136,0.56,0.76,-7.19,43.45,0.7004405286343612,0.29955947136563876,0.4008810572687225
Trasmiras,335,0.5,0.467,0.033,0.64,0.76,-7.62,42.02,0.9380863039399624,0.06191369606003752,0.8761726078799249
Trazo,127,0.4,0.52,0.08,0.6,0.75,-8.52,43.03,0.8333333333333333,0.16666666666666666,0.6666666666666666
Triacastela,811,0.476,0.476,0.048,0.63,0.82,-7.24,42.76,0.9083969465648855,0.0916030534351145,0.8167938931297709
